Name,Type,Definition,Formula,Teaching_Note,Source
训练误差,Evaluation,模型在训练数据集上的平均损失。,无,等同于经验风险。,CH01-训练误差与测试误差
测试误差,Evaluation,模型在测试数据集上的平均损失。,无,测试误差通常用来评估学习方法的泛化能力。,CH01-训练误差与测试误差
泛化误差,Math,学习到的模型对未知数据的期望风险。,"$R_{exp}(f)=E_p[L(Y, f(X))]$",泛化误差就是所学习到的模型的期望风险，即风险函数。,CH01-泛化能力
泛化误差上界,Math,泛化误差的概率上界，用于理论分析学习方法的泛化能力。,无,性质：样本容量增加时上界趋于0；假设空间容量越大上界越大。,CH01-泛化误差上界
生成模型,Model,"由数据学习联合概率分布P(X,Y)，然后求出条件概率分布P(Y|X)作为预测模型。","$P(Y|X)=\frac{P(X,Y)}{P(X)}$",收敛速度快，可处理隐变量。在监督学习中，概率模型是生成模型。,CH01-生成模型与判别模型
判别模型,Model,直接学习决策函数f(X)或条件概率分布P(Y|X)作为预测模型。,无,直接面对预测，准确率往往更高，可进行特征抽象。在监督学习中，非概率模型是判别模型。,CH01-生成模型与判别模型
分类问题,Task,输出变量为有限个离散变量的预测问题，包括二分类和多分类。,无,监督学习的主要应用之一。,CH01-分类问题
标注问题,Task,输入是一个观测序列，输出是一个标记序列或状态序列的预测问题。,无,常用于词性标注、信息抽取等。,CH01-标注问题
回归问题,Task,输入变量和输出变量均为连续变量的预测问题。,$Y=\hat f(X)$,无,CH01-回归问题
概率模型,Model,以概率分布的形式描述模型的取值。,无,在监督学习中，概率模型是生成模型。,CH01-按模型分类
非概率模型,Model,以决策函数的形式描述模型，不直接使用概率分布。,无,在监督学习中，非概率模型是判别模型。,CH01-按模型分类
贝叶斯学习,Strategy,将模型、未观测要素及其参数用变量表示，使用模型的先验分布进行推断的学习方法。,无,贝叶斯学习的特点：为模型引入先验分布。,CH01-贝叶斯学习
核方法,Strategy,使用核函数将输入空间映射到高维特征空间，在特征空间进行线性学习的技巧。,无,无,CH01-核方法
隐马尔可夫模型,Model,一种关于时序的概率模型，描述由一个隐藏的马尔可夫链随机生成不可观测的状态序列，再由各个状态生成一个观测从而产生观测序列的过程。,"$\lambda = (A, B, \pi)$",HMM可用于序列标注问题，是动态贝叶斯网络的最简单形式。模型由初始概率分布π、状态转移概率矩阵A和观测概率矩阵B唯一确定。,CH10-隐马尔可夫模型的基本概念
齐次马尔可夫性假设,Concept,隐马尔可夫模型的基本假设之一：假设隐藏的马尔可夫链在任意时刻t的状态只依赖于其前一时刻的状态，与其他时刻的状态及观测无关，也与时刻t无关。,"$P(i_t|i_{t-1},o_{t-1},\dots,i_1,o_1) = P(i_t|i_{t-1})$",这一假设简化了状态序列的依赖关系。,CH10-两个基本假设
观测独立性假设,Concept,隐马尔可夫模型的基本假设之一：假设任意时刻的观测只依赖于该时刻的马尔可夫链的状态，与其他观测及状态无关。,"$P(o_t|i_T,o_T,\dots,i_1,o_1)=P(o_t|i_t)$",保证了观测仅由当前状态决定，简化了模型结构。,CH10-两个基本假设
概率计算问题,Task,HMM三个基本问题之一：给定模型λ和观测序列O，计算在模型λ下观测序列O出现的概率P(O|λ)。,$P(O|\lambda)$,可通过直接计算、前向算法或后向算法求解。,CH10-三个基本问题
学习问题,Task,"HMM三个基本问题之一：已知观测序列O，估计模型λ=(A,B,π)的参数，使得在该模型下观测序列概率P(O|λ)最大。",无,若训练数据包含状态序列，用监督学习；若只有观测序列，用Baum-Welch算法（EM算法）。,CH10-三个基本问题
预测问题,Task,HMM三个基本问题之一（解码问题）：给定模型λ和观测序列O，求最可能的状态序列I。,"$I^* = \arg\max_I P(I|O,\lambda)$",可用近似算法或维特比算法求解，维特比算法用动态规划求最优路径。,CH10-三个基本问题
前向概率,Math,"给定模型λ，定义到时刻t部分观测序列为o_1,...,o_t且时刻t状态为q_i的概率为前向概率。","$\alpha_t(i)=P(o_1,o_2,\dots,o_t,i_t=q_i|\lambda)$",前向算法利用动态规划递推计算α，复杂度O(N²T)。,CH10-前向算法
后向概率,Math,"给定模型λ和时刻t状态为q_i，定义从t+1到T的部分观测序列为o_{t+1},...,o_T的概率为后向概率。","$\beta_t(i)=P(o_{t+1},o_{t+2},\dots,o_T|i_t=q_i,\lambda)$",后向算法从后向前递推计算β。,CH10-后向算法
前向算法,Algorithm,通过递推计算前向概率α_t(i)来求解观测序列概率P(O|λ)的算法。,$\alpha_{t+1}(i)=\left[\sum_{j=1}^N\alpha_t(j)a_{ji}\right]b_i(o_{t+1})$；$P(O|\lambda)=\sum_{i=1}^N\alpha_T(i)$,利用路径结构递推，避免重复计算。,CH10-前向算法
后向算法,Algorithm,通过递推计算后向概率β_t(i)来求解观测序列概率P(O|λ)的算法。,$\beta_t(i)=\sum_{j=1}^N a_{ij}b_j(o_{t+1})\beta_{t+1}(j)$；$P(O|\lambda)=\sum_{i=1}^N\pi_i b_i(o_1)\beta_1(i)$,从最终时刻向前递推。,CH10-后向算法
Baum-Welch算法,Algorithm,EM算法在隐马尔可夫模型学习中的具体实现，用于无监督地估计HMM参数。E步计算前向后向概率和期望，M步更新模型参数。,"$a_{ij}^{(n+1)}=\frac{\sum_{t=1}^{T-1}\xi_t(i,j)}{\sum_{t=1}^{T-1}\gamma_t(i)}$；$b_j(k)^{(n+1)}=\frac{\sum_{t=1,o_t=v_k}^{T}\gamma_t(j)}{\sum_{t=1}^T\gamma_t(j)}$；$\pi_i^{(n+1)}=\gamma_1(i)$","其中γ_t(i)为t时刻处于状态i的概率，ξ_t(i,j)为t时刻状态i且t+1时刻状态j的概率。",CH10-Baum-Welch算法
维特比算法,Algorithm,一种动态规划算法，用于求解隐马尔可夫模型预测问题，寻找给定观测序列下概率最大的状态序列（最优路径）。,递推：$\delta_t(i)=\max_{1\le j\le N}[\delta_{t-1}(j)a_{ji}]b_i(o_t)$；回溯：$\psi_t(i)=\arg\max_{1\le j\le N}[\delta_{t-1}(j)a_{ji}]$,维特比算法通过记录并回溯最优路径避免枚举所有可能状态序列。,CH10-维特比算法
状态转移概率矩阵,Math,描述隐马尔可夫模型中隐藏状态之间转移概率的矩阵，元素a_ij表示由状态q_i转移到状态q_j的概率。,$A=[a_{ij}]_{N\times N}$，其中$a_{ij}=P(i_{t+1}=q_j|i_t=q_i)$,状态转移矩阵是HMM模型三要素之一。,CH10-隐马尔可夫模型的定义
观测概率矩阵,Math,描述隐马尔可夫模型中各隐藏状态下生成各观测值的概率矩阵，元素b_j(k)表示在状态q_j下生成观测v_k的概率。,$B=[b_j(k)]_{N\times M}$，其中$b_j(k)=P(o_t=v_k|i_t=q_j)$,观测概率矩阵是HMM模型三要素之一，可以是离散或连续分布。,CH10-隐马尔可夫模型的定义
初始状态概率向量,Math,描述隐马尔可夫模型初始时刻各隐藏状态出现概率的向量。,$\pi=(\pi_i)$，其中$\pi_i=P(i_1=q_i)$,初始状态概率向量是HMM模型三要素之一。,CH10-隐马尔可夫模型的定义
马尔可夫链,Concept,时间和状态取值都离散的马尔可夫过程，满足马尔可夫假设：随机过程中各个状态的概率分布只与它的前一个状态有关。,"$P(s_t|s_1,s_2,\dots,s_{t-1})=P(s_t|s_{t-1})$",HMM中隐藏的状态序列构成马尔可夫链。,CH10-马尔可夫链
状态序列,Concept,隐马尔可夫模型中由隐藏的马尔可夫链随机生成的不可观测的状态序列。,"$I=(i_1,i_2,\dots,i_T)$",状态序列是隐变量，不可观测，需要通过观测序列推断。,CH10-隐马尔可夫模型的基本概念
观测序列,Concept,隐马尔可夫模型中可观测到的数据序列，由对应的状态序列通过观测概率分布生成。,"$O=(o_1,o_2,\dots,o_T)$",观测序列是已知数据，是HMM算法的输入。,CH10-隐马尔可夫模型的基本概念
观测序列生成算法,Algorithm,"根据给定的HMM模型参数λ=(A,B,π)生成观测序列的算法，用于理解和模拟模型。",无,按初始分布产生i_1，然后交替根据状态生成观测、按转移矩阵转移状态。,CH10-观测序列的生成过程
线性链条件随机场,Model,"设X与Y为线性链表示的随机变量序列，在给定X的条件下，Y的条件概率分布P(Y|X)构成条件随机场，即满足马尔可夫性P(Y_i|X,Y_1,...,Y_{i-1},Y_{i+1},...,Y_n)=P(Y_i|X,Y_{i-1},Y_{i+1})，则称P(Y|X)为线性链条件随机场。","$P(y|x)=\frac{1}{Z(x)}\exp\left(\sum_{i,k}\lambda_k t_k(y_{i-1},y_i,x,i)+\sum_{i,l}\mu_l s_l(y_i,x,i)\right)$",CRF是对数线性模型，可以看作最大熵马尔可夫模型在标注问题上的推广。,CH11-条件随机场的定义与形式
概率无向图模型,Model,又称马尔可夫随机场(MRF)，是由满足成对、局部、全局马尔可夫性的无向图表示的联合概率分布。,无,概率无向图模型的最大特点是易于因子分解。,CH11-概率无向图模型
马尔可夫随机场,Model,同概率无向图模型，是用无向图表示变量间条件依赖关系的联合概率分布模型。,无,条件随机场是给定输入变量条件下的马尔可夫随机场。,CH11-概率无向图模型
最大团,Concept,在无向图中，若一个团中不能再加入任何一个结点使其成为更大的团，则称该团为最大团。,无,概率无向图模型的联合概率分布可分解为最大团上势函数的乘积。,CH11-团与最大团
因子分解,Strategy,将概率无向图模型的联合概率分布表示为其最大团上随机变量函数的乘积形式，函数称为势函数，通常定义为指数函数。,$P(Y)=\frac{1}{Z}\prod_{C}\Psi_C(Y_C)$,因子分解是概率无向图模型的核心操作。,CH11-概率无向图的因子分解
特征函数,Math,在条件随机场中，用于描述输入序列和输出序列之间局部特征关系的实值函数。包括定义在边上的转移特征t_k和定义在结点上的状态特征s_l，均依赖于位置i。,"$f_k(y_{i-1},y_i,x,i)=\begin{cases} t_k(y_{i-1},y_i,x,i),&k=1,\dots,K_1\\ s_l(y_i,x,i),&k=K_1+l\end{cases}$",与最大熵模型的特征函数类似，但这里特征函数明确依赖于位置信息i。,CH11-特征函数
转移特征,Math,定义在条件随机场相邻输出结点之间的特征函数，描述从前一状态到后一状态的转移模式。,"$t_k(y_{i-1},y_i,x,i)$",转移特征对应于线性链中的边。,CH11-条件随机场的参数化形式
状态特征,Math,定义在条件随机场输出结点上的特征函数，描述当前状态与观测之间的关系。,"$s_l(y_i,x,i)$",状态特征对应于线性链中的结点。,CH11-条件随机场的参数化形式
条件随机场的矩阵形式,Model,线性链条件随机场的一种等价表示形式，将每个位置i处的转移和状态特征表示为m阶矩阵，通过矩阵乘积计算非规范化概率和规范化因子。,"$P_w(y|x)=\frac{1}{Z_w(x)}\prod_{i=1}^{n+1}M_i(y_{i-1},y_i|x)$；$M_i(y_{i-1},y_i|x)=\exp\left(\sum_{k=1}^K w_k f_k(y_{i-1},y_i,x,i)\right)$","矩阵形式便于实现前向-后向算法。$Z_w(x)$等于$n+1$个矩阵乘积的(start,stop)元素。",CH11-条件随机场的矩阵形式
前向-后向算法,Algorithm,条件随机场中用于计算概率和期望的动态规划算法。前向向量α_i(y_i|x)表示位置i标记为y_i且到i的前部序列的非规范化概率，后向向量β_i(y_i|x)表示位置i标记为y_i且从i+1到n的后部序列的非规范化概率。,"前向：$\alpha_i^T(y_i|x)=\alpha_{i-1}^T(y_{i-1}|x)[M_i(y_{i-1},y_i|x)]$；后向：$\beta_i(y_i|x)=[M_{i+1}(y_i,y_{i+1}|x)]\beta_{i+1}(y_{i+1}|x)$",与HMM的前向后向算法思想类似，但这里的转移矩阵Mi依赖于整个观测序列x。,CH11-条件随机场的概率计算问题
条件随机场的学习问题,Task,给定训练数据，估计条件随机场模型参数，常用改进的迭代尺度法或拟牛顿法。,无,条件随机场的学习可归约为优化问题，目标是最大化训练数据的对数似然函数。,CH11-条件随机场的学习方法
条件随机场的预测问题,Task,给定条件随机场模型和输入观测序列，求条件概率最大的输出序列（标记序列）。,$y^* = \arg\max_y P_w(y|x)$,与HMM的预测问题类似，使用维特比算法。,CH11-条件随机场的预测算法
势函数,Math,概率无向图模型中定义在最大团上的非负实值函数，用于描述团内变量间的相容程度，通常定义为指数函数形式。,$\Psi_C(Y_C)=\exp\left(\sum_i w_i f_i(Y_C)\right)$,势函数的值越大，对应的变量配置越可能。,CH11-概率无向图的因子分解
对数线性模型,Model,一类模型，其对数条件概率或对数势函数可以表示为特征函数的线性组合。逻辑斯谛回归模型、最大熵模型和条件随机场均属于对数线性模型。,"$\log P(y|x) = w \cdot F(x,y) - \log Z(x)$",对数线性模型将乘积形式转化为线性组合，简化了参数估计。,CH12-模型
线性模型,Model,模型函数为输入变量的线性组合，简单直观。感知机是线性模型的代表。,$f(x) = w\cdot x + b$,线性模型是众多复杂模型的基础。,CH12-模型
非线性模型,Model,模型函数为输入变量的非线性函数，能拟合更复杂的数据模式。k近邻、决策树、核支持向量机和提升方法均为非线性模型。,无,核技巧可将线性模型扩展为非线性模型。,CH12-模型
随机梯度下降,Algorithm,一种优化算法，每次随机选取一个或一小批样本计算梯度并更新参数，计算效率高，适用于大规模数据。感知机、逻辑斯谛回归、最大熵模型及条件随机场均可使用此法学习。,"$\theta \leftarrow \theta - \eta \nabla L(\theta; x_i, y_i)$",SGD在深度学习中也广泛使用。,CH12-学习算法
拟牛顿法,Algorithm,一类迭代优化算法，通过近似计算Hessian矩阵的逆来更新参数，收敛速度快于普通梯度下降。最大熵模型和条件随机场的学习常采用BFGS等拟牛顿法。,无,拟牛顿法在高维参数空间中仍能保持较好性能。,CH12-学习算法
无监督学习,Task,从无标注数据中学习模型的机器学习范式，旨在发现数据中的隐藏结构或规律。基本问题包括聚类、降维和概率模型估计。,无,无监督学习通常需要大量数据，因为对数据隐藏规律的发现需要足够的观测。可作数据分析或监督学习的前处理。,CH13-无监督学习基本原理
聚类,Task,一种无监督学习任务，将样本集合划分为由类似样本组成的多个类或簇，以发现数据中的纵向结构。,硬聚类：$z=g_{\theta}(x)$；软聚类：$P_{\theta}(z\mid x)$,硬聚类给出确定的类别标签，软聚类给出属于各类的概率。高斯混合模型是一种软聚类方法。,CH13-聚类
降维,Task,一种无监督学习任务，将高维数据转换为低维表示，同时尽可能保留原始数据中的信息，以发现数据中的横向结构。,$z=g_{\theta}(x)$，其中$x$为高维向量，$z$为低维向量,降维函数$g$可以是线性的（如PCA）或非线性的（如流形学习）。,CH13-降维
概率模型估计,Task,一种无监督学习任务，假设数据由一个概率模型生成，从数据中学习该概率模型的结构和参数，以最大化生成观测数据的概率。,$P_{\theta}(x\mid z)$，其中$z$为隐变量,概率模型估计可以看成生成模型的无监督学习。当先验均匀时，后验$P_{\theta}(z\mid x)$与似然$P_{\theta}(x\mid z)$成正比。,CH13-概率模型估计
硬聚类,Concept,聚类的一种形式，将每个样本明确地划分到某一个确定的类别中，输出为离散的类别标签。,$z=g_{\theta}(x)$,K均值聚类是硬聚类的代表方法。,CH13-聚类
软聚类,Concept,聚类的一种形式，输出样本属于每个类别的概率，而不是唯一的类别标签。,$P_{\theta}(z\mid x)$,软聚类可视为概率模型估计问题，与硬聚类相对。,CH13-聚类
条件概率分布,Math,表示在某一随机变量取特定值的条件下，另一随机变量的概率分布。在无监督学习中，软聚类使用$P_{\theta}(z\mid x)$，概率模型估计使用$P_{\theta}(x\mid z)$。,$P(Y\mid X)$,无监督学习模型既可以是条件概率分布$P_{\theta}(z\mid x)$，也可以是$P_{\theta}(x\mid z)$。,CH13-机器学习三要素
梯度下降,Algorithm,一种最优化算法，沿着目标函数梯度的反方向迭代更新参数，以逐步逼近局部或全局极小值。,$\theta \leftarrow \theta - \eta \nabla L(\theta)$,在无监督学习中常用于极小化聚类损失、降维的重构误差等。,CH13-机器学习三要素
话题分析,Task,一种无监督学习方法，通过对文本数据进行建模，发现其中隐含的主题结构。常见方法有LSA、PLSA和LDA。,无,话题分析广泛应用于文本挖掘和信息检索。,CH13-话题分析
图分析,Task,一种无监督学习方法，以图结构表示数据，发现隐藏在图中的统计规律或潜在结构。代表性算法为PageRank。,无,图分析在万维网链接分析中应用广泛。,CH13-图分析
类（簇）,Concept,聚类的结果，是由一组相似样本组成的子集。类具有均值、直径、样本散布矩阵和样本协方差矩阵等特征。,无,类是一个样本集合，聚类的目标是将样本划分到不同的类中。,CH14-类或簇
马哈拉诺比斯距离,Math,一种考虑特征间相关性的距离度量，通过协方差矩阵的逆进行缩放，对尺度变换具有不变性。,$d_{ij}=\left[(x_i-x_j)^\mathrm T S^{-1}(x_i-x_j)\right]^{\frac{1}{2}}$,马氏距离在多元统计分析中常用，考虑了数据分布。,CH14-距离或相似度
相关系数,Math,"度量两个变量之间线性相关程度的统计量，取值范围[-1,1]，绝对值越大表示线性相关性越强。",$r_{ij}=\frac{\sum_{k=1}^m (x_{ki}-\bar x_i)(x_{kj}-\bar x_j)}{\sqrt{\sum_{k=1}^m (x_{ki}-\bar x_i)^2}\sqrt{\sum_{k=1}^m (x_{kj}-\bar x_j)^2}}$,相关系数接近1时样本正相关，可用于相似度衡量。,CH14-距离或相似度
夹角余弦,Math,衡量两个向量方向差异的相似度度量，等于向量内积与模的乘积之比，余弦值越大表示夹角越小，相似度越高。,$s_{ij}=\frac{\sum_{k=1}^m x_{ki}x_{kj}}{\sqrt{\sum_{k=1}^m x_{ki}^2}\sqrt{\sum_{k=1}^m x_{kj}^2}}$,夹角余弦在文本相似度计算中广泛应用。,CH14-距离或相似度
最短距离,Concept,类间距离的一种定义，用两类中最近样本之间的距离作为类间距离，即Single Linkage。,"$D_{pq}=\min\{d_{ij}|x_i\in G_p, x_j\in G_q\}$",最短距离对噪声和离群点敏感，容易产生链式效应。,CH14-类与类之间的距离
最长距离,Concept,类间距离的一种定义，用两类中最远样本之间的距离作为类间距离，即Complete Linkage。,"$D_{pq}=\max\{d_{ij}|x_i\in G_p, x_j\in G_q\}$",最长距离倾向于产生紧凑的类。,CH14-类与类之间的距离
中心距离,Concept,类间距离的一种定义，用两类中心点（均值向量）之间的距离作为类间距离。,$D_{pq}=d_{\bar x_p\bar x_q}$,中心距离计算高效，但未考虑类的分布形状。,CH14-类与类之间的距离
平均距离,Concept,类间距离的一种定义，用两类中所有样本对之间距离的平均值作为类间距离，即Average Linkage。,$D_{pq}=\frac{1}{n_p n_q}\sum_{x_i\in G_p}\sum_{x_j\in G_q} d_{ij}$,平均距离对噪声相对稳健，是比较常用的类间距离。,CH14-类与类之间的距离
层次聚类,Algorithm,假设类别之间存在层次结构，通过聚合（自下而上）或分裂（自上而下）的方式逐步合并或划分类别，形成树形聚类结构的聚类方法。,无,聚合聚类需定义距离度量、合并规则和停止条件。复杂度较高$O(n^3m)$。,CH14-层次聚类
聚合聚类,Algorithm,自下而上的层次聚类方法，初始时每个样本自成一类，然后每次合并类间距离最近的两个类，直至满足停止条件。,无,聚合聚类的三要素：距离或相似度、合并规则（类间距离定义）、停止条件。,CH14-层次聚类
K均值聚类,Algorithm,一种基于原型的硬聚类算法，将样本划分到K个类中，使得每个样本与其所属类中心的距离平方和最小。,$J=\sum_{k=1}^K\sum_{x_i\in C_k}\|x_i-\mu_k\|^2$,1967年由MacQueen提出。对初值敏感，采用欧氏距离平方。,CH14-k均值聚类
奇异值分解,Algorithm,将m×n实矩阵A表示为三个实矩阵乘积的运算，即A=UΣV^T，其中U和V为正交矩阵，Σ为对角矩阵，对角线元素为奇异值。是基础学习方法，在统计学中有广泛应用。,$A=U\Sigma V^\mathrm{T}$,奇异值分解在平方损失意义下是对矩阵的最优近似，即数据压缩。几何上可解释为旋转、缩放、再旋转的组合。,CH15-奇异值分解的定义与性质
紧奇异值分解,Algorithm,保留矩阵所有非零奇异值的奇异值分解，即只取前r个奇异值及其对应的左右奇异向量，其中r为矩阵的秩。,$A=U_r\Sigma_r V_r^\mathrm{T}$,紧奇异值分解与原矩阵完全等价，无信息损失。,CH15-紧奇异值分解与截断奇异值分解
截断奇异值分解,Algorithm,只保留前k个最大奇异值的奇异值分解，用低秩矩阵近似原矩阵，是一种矩阵压缩和降噪方法。,$A\approx U_k\Sigma_k V_k^\mathrm{T}$,截断SVD给出矩阵在弗罗贝尼乌斯范数下的最优低秩近似。,CH15-紧奇异值分解与截断奇异值分解
弗罗贝尼乌斯范数,Math,一种矩阵范数，定义为矩阵所有元素平方和的平方根，是向量L2范数的直接推广。,$\|A\|_F=\left(\sum_{i=1}^m\sum_{j=1}^n a_{ij}^2\right)^{\frac{1}{2}}$,对应机器学习中的平方损失函数，SVD给出的矩阵近似在此范数下最优。,CH15-弗罗贝尼乌斯范数
矩阵的最优近似,Math,在弗罗贝尼乌斯范数下，截断奇异值分解给出的矩阵是所有同秩矩阵中与原矩阵误差最小的近似。,$\|A-X\|_F=(\sigma_{k+1}^2+\sigma_{k+2}^2+\cdots+\sigma_n^2)^{\frac{1}{2}}$,截断SVD保留矩阵的主要能量，可滤除噪声。,CH15-矩阵的最优近似
线性变换,Concept,一种映射，将向量空间中的向量映射到另一个向量空间（或自身），并保持向量加法和数乘运算，网格线保持平行等距且原点不变。,无,SVD的几何解释：矩阵A代表的线性变换可分解为V^T（旋转/反射）、Σ（缩放）、U（旋转/反射）三个简单变换。,CH15-几何解释
矩阵的外积展开式,Math,奇异值分解的一种表达形式，将矩阵A表示为各奇异值与其左右奇异向量外积的加权和。,$A=\sum_{k=1}^n\sigma_k u_k v_k^\mathrm{T}$,通过截断外积展开式可得到矩阵的低秩近似。,CH15-矩阵的外积展开式
主成分分析,Algorithm,一种常用的无监督降维方法，通过正交变换将可能存在相关性的原始变量转换为线性不相关的新变量（即主成分），使少数几个主成分保留数据中大部分变异信息。,$y_k = \alpha_k^\mathrm{T} \boldsymbol{x}$,PCA不是特征选择，新变量是原始特征的线性组合且线性无关。结果可作为其他机器学习方法的输入。,CH16-总体主成分分析
总体主成分分析,Concept,在已知总体协方差矩阵的情况下，导出主成分的方法。主成分是原始变量的线性组合，各主成分互不相关，且方差依次递减，协方差矩阵为对角矩阵$\Lambda$。,"$\mathrm{cov}(\boldsymbol{y}) = \Lambda = \mathrm{diag}(\lambda_1, \lambda_2, \cdots, \lambda_m)$",总体主成分的方差之和等于原始变量方差之和。,CH16-总体主成分分析
样本主成分分析,Concept,在给定样本数据矩阵的情况下，通过估计样本协方差矩阵或相关矩阵，进而求取样本主成分的方法。算法上可通过相关矩阵特征值分解或数据矩阵奇异值分解实现。,无,样本主成分分析的两种实现算法：相关矩阵特征值分解、数据矩阵截断SVD分解。,CH16-样本主成分分析
规范化变量,Strategy,为使不同量纲或数量级的变量在分析中具有同等重要性，将各变量进行标准化处理，使其样本均值为0，方差为1。,$x_{ij}^* = \frac{x_{ij} - \bar{x}_i}{\sqrt{s_{ii}}}$,在主成分分析中，为避免量纲影响，通常需要对原始变量进行规范化处理，这是数据预处理的关键步骤。,CH16-规范化变量的总体主成分
方差贡献率,Math,某个主成分的方差占总方差的比例，用于衡量该主成分综合原始变量信息的能力。,$\eta_i = \frac{\lambda_i}{\sum_{k=1}^m \lambda_k}$,通常选择累计方差贡献率达到预定阈值（如85%）的前k个主成分。,CH16-主成分的个数
因子负荷量,Math,主成分与原始变量之间的相关系数，反映了主成分对原始变量的解释程度。,"$\rho(y_k, x_i) = \sqrt{\lambda_k} e_{ik}$",因子负荷量的平方和等于该主成分的方差贡献，可用于解释主成分的实际含义。,CH16-主要性质
