Head,Relation,Tail,Context
生成模型,COMPRISE,隐马尔可夫模型,隐马尔可夫模型对观测序列和状态序列的联合概率建模，属于生成模型。
判别模型,COMPRISE,感知机,感知机直接学习决策函数。
判别模型,COMPRISE,k近邻法,k近邻法直接根据多数表决得到类别决策。
判别模型,COMPRISE,决策树,决策树直接输出分类决策。
判别模型,COMPRISE,逻辑斯谛回归模型,逻辑斯谛回归直接学习条件概率分布P(Y|X)。
判别模型,COMPRISE,最大熵模型,最大熵模型直接学习条件概率分布P(Y|X)。
判别模型,COMPRISE,支持向量机,支持向量机学习分离超平面作为决策函数。
判别模型,COMPRISE,提升方法,提升方法直接组合分类器形成判别决策。
判别模型,COMPRISE,线性链条件随机场,条件随机场直接对条件概率P(Y|X)建模。
概率模型,COMPRISE,朴素贝叶斯法,NB由条件概率分布表示。
概率模型,COMPRISE,隐马尔可夫模型,HMM由观测序列与状态序列的联合概率分布表示。
非概率模型,COMPRISE,感知机,感知机用决策函数表示。
非概率模型,COMPRISE,k近邻法,k近邻法用决策函数表示。
非概率模型,COMPRISE,支持向量机,线性可分SVM用决策函数表示。
非概率模型,COMPRISE,提升方法,提升方法用决策函数表示。
概率模型,COMPRISE,决策树,决策树可以视为条件概率分布。
非概率模型,COMPRISE,决策树,决策树也可以视为决策函数。
概率模型,COMPRISE,逻辑斯谛回归模型,LR可视为条件概率分布。
非概率模型,COMPRISE,逻辑斯谛回归模型,LR也可看作线性函数经Sigmoid的映射。
概率模型,COMPRISE,最大熵模型,MaxEnt可视为条件概率分布。
非概率模型,COMPRISE,最大熵模型,MaxEnt也可看作非概率的分类模型。
概率模型,COMPRISE,线性链条件随机场,CRF可表示为条件概率分布。
非概率模型,COMPRISE,线性链条件随机场,CRF也可看作判别模型输出决策。
合页损失函数,COMPARE,0-1损失函数,合页损失是0-1损失的上界。
逻辑斯谛损失函数,COMPARE,0-1损失函数,逻辑斯谛损失是0-1损失的上界。
指数损失函数,COMPARE,0-1损失函数,指数损失是0-1损失的上界。
支持向量机,OPTIMIZED_BY,序列最小最优化算法,SVM求解凸二次规划常采用SMO算法。
逻辑斯谛回归模型,OPTIMIZED_BY,随机梯度下降,LR参数学习可使用SGD。
最大熵模型,OPTIMIZED_BY,拟牛顿法,最大熵模型学习常用拟牛顿法。
线性链条件随机场,OPTIMIZED_BY,拟牛顿法,条件随机场学习常用拟牛顿法。
感知机,OPTIMIZED_BY,随机梯度下降,感知机学习采用随机梯度下降。
提升方法,OPTIMIZED_BY,前向分步算法,提升方法采用前向分步算法逐个学习基函数。
隐马尔可夫模型,OPTIMIZED_BY,Baum-Welch算法,HMM的无监督学习采用Baum-Welch算法（EM）。
线性链条件随机场,COMPARE,最大熵模型,条件随机场可以看成是分类问题的最大熵模型在序列标注问题上的推广。
朴素贝叶斯法,OPTIMIZED_BY,极大似然估计,朴素贝叶斯法监督学习可直接通过极大似然估计计算概率。
隐马尔可夫模型,OPTIMIZED_BY,极大似然估计,HMM监督学习可直接通过极大似然估计计算参数。
无监督学习,COMPRISE,聚类,聚类是无监督学习的基本问题之一。
无监督学习,COMPRISE,降维,降维是无监督学习的基本问题之一。
无监督学习,COMPRISE,概率模型估计,概率模型估计是无监督学习的基本问题之一。
无监督学习,COMPRISE,话题分析,话题分析是一种重要的无监督学习方法。
无监督学习,COMPRISE,图分析,图分析是一种重要的无监督学习方法。
聚类,COMPRISE,硬聚类,聚类可以分为硬聚类和软聚类两种形式。
聚类,COMPRISE,软聚类,聚类可以分为硬聚类和软聚类两种形式。
软聚类,PREREQUISITE,条件概率分布,软聚类模型采用条件概率分布$P_{\theta}(z\mid x)$表示。
概率模型估计,PREREQUISITE,条件概率分布,概率模型估计通过学习条件概率分布$P_{\theta}(x\mid z)$来建模数据生成过程。
软聚类,EQUIVALENT_TO,概率模型估计,当假设隐变量先验均匀分布时，软聚类的后验概率与概率模型估计的似然函数成正比，二者等价。
降维,OPTIMIZED_BY,梯度下降,降维方法通常使用梯度下降等迭代算法极小化重构误差或信息损失。
无监督学习,OPTIMIZED_BY,梯度下降,无监督学习中许多方法采用梯度下降或其变体进行优化。
聚类,PREREQUISITE,类（簇）,聚类的结果是将样本划分成若干类或簇。
距离度量,COMPRISE,马哈拉诺比斯距离,马哈拉诺比斯距离是常用距离度量之一。
距离度量,COMPRISE,相关系数,相关系数可用于衡量样本相似度。
距离度量,COMPRISE,夹角余弦,夹角余弦可用于衡量样本相似度。
聚类,COMPRISE,层次聚类,层次聚类是一种重要的聚类方法。
聚类,COMPRISE,K均值聚类,K均值聚类是一种广泛使用的聚类方法。
层次聚类,COMPRISE,聚合聚类,聚合聚类是层次聚类中自下而上的一种实现方式。
聚合聚类,APPLIED_TO,最短距离,以最短距离作为类间距离合并规则。
聚合聚类,APPLIED_TO,最长距离,以最长距离作为类间距离合并规则。
聚合聚类,APPLIED_TO,中心距离,以中心距离作为类间距离合并规则。
聚合聚类,APPLIED_TO,平均距离,以平均距离作为类间距离合并规则。
K均值聚类,PREREQUISITE,硬聚类,K均值聚类是一种典型的硬聚类算法。
K均值聚类,APPLIED_TO,欧氏距离,K均值聚类采用欧氏距离的平方作为样本到类中心的距离度量。
奇异值分解,COMPRISE,紧奇异值分解,完全奇异值分解保留所有奇异值，紧奇异值分解仅保留非零奇异值。
奇异值分解,COMPRISE,截断奇异值分解,截断奇异值分解是取前k个最大奇异值的简化分解。
截断奇异值分解,APPLIED_TO,矩阵的最优近似,截断SVD在弗罗贝尼乌斯范数下给出矩阵的最优低秩近似。
奇异值分解,APPLIED_TO,矩阵的外积展开式,奇异值分解可写成外积展开式，用于矩阵近似。
弗罗贝尼乌斯范数,APPLIED_TO,矩阵的最优近似,矩阵近似误差在弗罗贝尼乌斯范数下衡量。
奇异值分解,APPLIED_TO,线性变换,SVD的几何解释是将矩阵代表的线性变换分解为旋转、缩放、旋转。
截断奇异值分解,APPLIED_TO,降维,截断SVD通过低秩近似实现数据压缩和降维。
主成分分析,COMPRISE,总体主成分分析,主成分分析分为总体主成分分析和样本主成分分析。
主成分分析,COMPRISE,样本主成分分析,主成分分析分为总体主成分分析和样本主成分分析。
主成分分析,PREREQUISITE,规范化变量,为避免变量量纲影响，进行主成分分析前通常需要对原始变量进行规范化处理。
主成分分析,APPLIED_TO,降维,主成分分析是一种经典的无监督降维方法。
总体主成分分析,COMPRISE,方差贡献率,方差贡献率用于度量总体主成分的重要性，并据此选择主成分个数。
总体主成分分析,COMPRISE,因子负荷量,因子负荷量用于解释总体主成分与原始变量的关系。
样本主成分分析,APPLIED_TO,相关矩阵,样本主成分分析的一种算法是对样本相关矩阵进行特征值分解。
样本主成分分析,APPLIED_TO,截断奇异值分解,样本主成分分析的另一种算法是对中心化后的数据矩阵进行截断奇异值分解，得到主成分。
潜在语义分析,APPLIED_TO,话题分析,潜在语义分析主要用于文本的话题分析。
潜在语义分析,APPLIED_TO,截断奇异值分解,基于SVD的潜在语义分析通过截断奇异值分解得到话题向量空间和文本表示。
潜在语义分析,APPLIED_TO,非负矩阵分解,基于NMF的潜在语义分析利用非负矩阵分解得到非负话题向量和文本表示。
潜在语义分析,APPLIED_TO,降维,潜在语义分析将文本从高维单词空间映射到低维话题空间，实现降维。
单词-文本矩阵,EQUIVALENT_TO,单词向量空间,单词-文本矩阵的列向量就是各文本在单词向量空间中的坐标表示。
单词-话题矩阵,EQUIVALENT_TO,话题向量空间,单词-话题矩阵的列向量构成了话题向量空间的基。
话题-文本矩阵,PREREQUISITE,话题向量空间,话题-文本矩阵的列向量是文本在话题向量空间中的表示。
潜在语义分析,PREREQUISITE,单词-文本矩阵,潜在语义分析的输入是单词-文本矩阵。
潜在语义分析,COMPRISE,单词-话题矩阵,潜在语义分析将单词-文本矩阵分解得到单词-话题矩阵。
潜在语义分析,COMPRISE,话题-文本矩阵,潜在语义分析同时输出话题-文本矩阵作为文本的新表示。
TF-IDF,APPLIED_TO,单词-文本矩阵,单词-文本矩阵的元素常用TF-IDF作为权值以反映单词重要性。
非负矩阵分解,OPTIMIZED_BY,平方损失函数,非负矩阵分解的优化目标可选用平方损失函数，此时极小化$\|X-WH\|^2$。
非负矩阵分解,OPTIMIZED_BY,散度损失,非负矩阵分解的优化目标也可选用散度损失函数。
潜在语义分析,COMPRISE,话题,潜在语义分析通过矩阵分解发现数据中潜在的话题。
非概率模型,COMPRISE,感知机,感知机是线性分类模型，属于非概率模型即判别模型。
感知机,APPLIED_TO,分类问题,感知机用于二类分类问题。
损失函数,COMPRISE,感知机损失函数,感知机损失函数是一种具体的损失函数。
感知机,OPTIMIZED_BY,经验风险最小化,感知机的学习策略是经验风险最小化。
感知机,COMPRISE,感知机学习算法原始形式,感知机的一种学习算法。
感知机,COMPRISE,感知机学习算法对偶形式,感知机的一种学习算法，通过求解对偶问题学习。
感知机学习算法对偶形式,APPLIED_TO,Gram矩阵,对偶形式利用Gram矩阵存储内积以加速计算。
感知机损失函数,PREREQUISITE,函数间隔,感知机损失函数基于误分类点的函数间隔定义。
感知机,PREREQUISITE,线性可分数据集,感知机学习的收敛性前提是训练数据集线性可分。
几何间隔,COMPARE,函数间隔,几何间隔是函数间隔除以||w||，消除了法向量缩放的影响，更能反映点到超平面的真实距离。
感知机,COMPRISE,分离超平面,感知机模型对应于特征空间中的一个分离超平面。
感知机学习算法原始形式,COMPRISE,学习率,学习率是感知机算法迭代步长的超参数。
感知机学习算法原始形式,PREREQUISITE,Novikoff定理,Novikoff定理保证了对于线性可分数据集，原始形式算法在有限步内收敛。
k近邻法,COMPRISE,距离度量,k近邻模型三要素之一
k近邻法,COMPRISE,k值选择,k近邻模型三要素之一
k近邻法,COMPRISE,多数表决规则,k近邻模型三要素之一
多数表决规则,EQUIVALENT_TO,经验风险最小化,当分类损失函数是0-1损失时，多数表决规则等价于经验风险最小化
k值选择,APPLIED_TO,交叉验证,通常使用交叉验证选取最优k值
距离度量,COMPRISE,闵可夫斯基距离,闵可夫斯基距离是距离度量的一种一般形式
闵可夫斯基距离,COMPRISE,欧氏距离,p=2时的特例
闵可夫斯基距离,COMPRISE,曼哈顿距离,p=1时的特例
k近邻法,OPTIMIZED_BY,KD树,利用KD树数据结构实现快速搜索，提高k近邻法效率
0-1损失函数,APPLIED_TO,多数表决规则,多数表决规则可在0-1损失下达到经验风险最小化
k近邻法,APPLIED_TO,分类问题,k近邻法可用于分类问题
k近邻法,APPLIED_TO,回归问题,k近邻法也可用于回归问题
生成模型,COMPRISE,朴素贝叶斯法,朴素贝叶斯法是典型的生成模型。
朴素贝叶斯法,PREREQUISITE,贝叶斯定理,朴素贝叶斯法基于贝叶斯定理计算后验概率。
朴素贝叶斯法,PREREQUISITE,条件独立假设,朴素贝叶斯法对条件概率分布作了特征条件独立假设。
朴素贝叶斯法,COMPRISE,后验概率最大化,后验概率最大化是朴素贝叶斯法的分类决策规则。
后验概率最大化,EQUIVALENT_TO,期望风险最小化,当损失函数是0-1损失时，后验概率最大化等价于期望风险最小化。
朴素贝叶斯法,APPLIED_TO,分类问题,朴素贝叶斯法可用于解决分类问题。
朴素贝叶斯法,APPLIED_TO,极大似然估计,朴素贝叶斯法中常用极大似然估计来估计先验概率和条件概率。
朴素贝叶斯法,APPLIED_TO,贝叶斯估计,贝叶斯估计作为朴素贝叶斯法中处理零概率的参数估计方法。
贝叶斯估计,EQUIVALENT_TO,极大似然估计,当平滑参数$\lambda=0$时，贝叶斯估计退化为极大似然估计。
贝叶斯估计,COMPRISE,拉普拉斯平滑,当$\lambda=1$时，贝叶斯估计即为拉普拉斯平滑。
朴素贝叶斯法,COMPARE,判别模型,朴素贝叶斯法是生成模型，与判别模型（如逻辑斯谛回归）形成对比。
树增强朴素贝叶斯,PREREQUISITE,朴素贝叶斯法,树增强朴素贝叶斯放宽了朴素贝叶斯的条件独立假设。
贝叶斯网,COMPRISE,朴素贝叶斯法,朴素贝叶斯法是贝叶斯网在特征条件独立假设下的特例。
决策树,COMPRISE,特征选择,决策树学习的三个步骤：特征选择、决策树生成、决策树剪枝。
决策树,COMPRISE,ID3算法,ID3是基于信息增益的决策树生成算法。
决策树,COMPRISE,C4.5算法,C4.5是基于信息增益比的决策树生成算法。
决策树,COMPRISE,CART算法,CART是分类与回归树算法，包含生成和剪枝。
决策树,COMPRISE,决策树剪枝,剪枝是决策树学习中防止过拟合的重要步骤。
特征选择,APPLIED_TO,信息增益,信息增益是特征选择的一种常用准则。
特征选择,APPLIED_TO,信息增益比,信息增益比是特征选择的一种改进准则，用以修正信息增益偏向取值较多特征的缺点。
特征选择,APPLIED_TO,基尼系数,基尼系数是CART分类树中特征选择的准则。
信息增益,PREREQUISITE,经验熵,信息增益的计算需要经验熵。
信息增益,PREREQUISITE,经验条件熵,信息增益的计算需要经验条件熵。
信息增益,EQUIVALENT_TO,互信息,在训练数据集上，信息增益等于类与特征的互信息。
信息增益比,PREREQUISITE,信息增益,信息增益比是信息增益除以数据集关于特征的熵。
ID3算法,PREREQUISITE,信息增益,ID3算法使用信息增益选择划分特征。
C4.5算法,PREREQUISITE,信息增益比,C4.5算法使用信息增益比选择划分特征。
CART算法,PREREQUISITE,基尼系数,CART分类树使用基尼系数选择划分特征。
决策树剪枝,PREREQUISITE,决策树损失函数,剪枝通过极小化决策树损失函数来实现。
决策树损失函数,EQUIVALENT_TO,结构风险最小化,当损失函数为对数损失，且模型复杂度用叶结点数|T|表示时，决策树的损失函数即为结构风险最小化的形式。
决策树,APPLIED_TO,分类问题,决策树可用于分类问题。
决策树,APPLIED_TO,回归问题,决策树（CART）可用于回归问题。
经验熵,EQUIVALENT_TO,熵,经验熵是基于训练数据估计的熵。
经验条件熵,EQUIVALENT_TO,条件熵,经验条件熵是基于训练数据估计的条件熵。
逻辑斯谛回归模型,EQUIVALENT_TO,最大熵模型,逻辑斯谛回归模型是最大熵模型在二分类情况下的特例，两者等价。
逻辑斯谛回归模型,PREREQUISITE,逻辑斯谛分布,二项逻辑斯谛回归模型的条件概率分布形式为参数化的逻辑斯谛分布。
逻辑斯谛回归模型,COMPRISE,多项逻辑斯谛回归,多项逻辑斯谛回归是逻辑斯谛回归在多分类问题上的推广。
逻辑斯谛回归模型,COMPRISE,对数几率,逻辑斯谛回归模型用线性函数表示对数几率。
最大熵模型,PREREQUISITE,最大熵原理,最大熵模型基于最大熵原理构建。
最大熵模型,PREREQUISITE,特征函数,最大熵模型通过特征函数引入约束条件。
最大熵模型,PREREQUISITE,约束条件,最大熵模型必须满足特征函数经验期望相等的约束。
最大熵模型,OPTIMIZED_BY,改进的迭代尺度法,最大熵模型的学习可用改进的迭代尺度法(IIS)求解。
最大熵模型,PREREQUISITE,条件熵,最大熵模型最大化以条件熵为目标函数。
逻辑斯谛回归模型,COMPRISE,逻辑斯谛损失函数,逻辑斯谛回归使用逻辑斯谛损失函数，即负对数似然。
逻辑斯谛回归模型,APPLIED_TO,分类问题,逻辑斯谛回归模型是一种分类模型。
最大熵模型,APPLIED_TO,分类问题,最大熵模型可用于解决分类问题。
交叉熵,PREREQUISITE,相对熵,交叉熵等于真实分布的熵加上真实分布与预测分布的相对熵。
逻辑斯谛回归模型,COMPARE,朴素贝叶斯法,逻辑斯谛回归是判别模型，朴素贝叶斯是生成模型，两者在参数估计上可以对比。
最大熵原理,COMPARE,最大熵模型,最大熵原理是准则，最大熵模型是应用该准则得到的模型。
支持向量机,COMPRISE,线性可分支持向量机,支持向量机的基本情况，训练数据线性可分时使用硬间隔最大化
支持向量机,COMPRISE,线性支持向量机,支持向量机的一般形式，允许软间隔处理近似线性可分数据
支持向量机,COMPRISE,非线性支持向量机,通过核技巧将支持向量机推广到非线性分类
线性可分支持向量机,PREREQUISITE,硬间隔最大化,线性可分SVM的学习策略就是硬间隔最大化
线性支持向量机,PREREQUISITE,软间隔最大化,线性支持向量机采用软间隔最大化策略
非线性支持向量机,PREREQUISITE,核函数,非线性支持向量机通过核函数隐式地将输入映射到高维特征空间
软间隔最大化,EQUIVALENT_TO,结构风险最小化,当损失函数为合页损失函数且正则化项为L2范数时，软间隔最大化等价于结构风险最小化
支持向量机,OPTIMIZED_BY,序列最小最优化算法,SVM的学习问题可形式化为凸二次规划，常用SMO算法求解对偶问题
序列最小最优化算法,PREREQUISITE,KKT条件,SMO算法以KKT条件作为停机准则和变量选择依据
支持向量机,COMPARE,感知机,两者都是线性分类模型，但感知机仅仅寻找一个分离超平面，而SVM追求最大间隔；感知机解不唯一，SVM解唯一
硬间隔最大化,PREREQUISITE,几何间隔,硬间隔最大化通过最大化几何间隔来实现，等价于最小化法向量范数
合页损失函数,PREREQUISITE,函数间隔,"合页损失基于函数间隔定义：$L = \max(0, 1 - y(w\cdot x+b))$"
线性支持向量机,COMPRISE,支持向量,线性支持向量机中，决定分离超平面的关键样本点称为支持向量（$\alpha_i>0$）
提升方法,COMPRISE,AdaBoost算法,AdaBoost是提升方法的具体实现。
提升方法,COMPRISE,提升树,提升树是提升方法以决策树为基函数的实例。
提升方法,PREREQUISITE,弱学习器,提升方法基于弱学习算法。
提升方法,PREREQUISITE,强学习器,提升方法的目标是生成强学习器。
加法模型,COMPRISE,提升树,提升树模型是加法模型的特例，基函数为决策树。
前向分步算法,APPLIED_TO,加法模型,前向分步算法是求解加法模型的通用方法。
AdaBoost算法,PREREQUISITE,前向分步算法,AdaBoost可看作前向分步算法使用指数损失的特例。
AdaBoost算法,PREREQUISITE,指数损失函数,AdaBoost的目标函数为指数损失。
损失函数,COMPRISE,指数损失函数,指数损失是损失函数的一种。
提升树,PREREQUISITE,决策树,提升树以决策树为基函数。
提升树,APPLIED_TO,回归问题,回归提升树使用平方损失拟合残差。
提升树,APPLIED_TO,分类问题,分类提升树使用指数损失等。
梯度提升,PREREQUISITE,提升树,梯度提升是提升树用于一般损失函数的扩展。
梯度提升,PREREQUISITE,残差,梯度提升用负梯度近似残差进行拟合。
残差,APPLIED_TO,提升树,回归提升树每一轮拟合当前模型的残差。
AdaBoost算法,COMPARE,支持向量机,两者都基于间隔理论，但AdaBoost的间隔与SVM的几何间隔不同。
AdaBoost算法,COMPARE,逻辑斯谛回归模型,两者通过Bregman散度建立联系，损失函数不同。
EM算法,APPLIED_TO,极大似然估计,EM算法用于含有隐变量时概率模型的极大似然估计。
EM算法,APPLIED_TO,高斯混合模型,EM算法是估计高斯混合模型参数的标准方法。
EM算法,APPLIED_TO,伯努利混合模型,EM算法可用于估计伯努利混合模型参数。
EM算法,PREREQUISITE,Q函数,EM算法通过E步计算Q函数，M步最大化Q函数。
EM算法,PREREQUISITE,隐变量,EM算法专门解决含有隐变量的概率模型参数估计问题。
EM算法,PREREQUISITE,完全数据,EM算法利用完全数据的对数似然函数构造Q函数。
不完全数据,COMPARE,完全数据,不完全数据仅包含观测变量，完全数据还包含隐变量。
高斯混合模型,PREREQUISITE,响应度,高斯混合模型EM算法的E步核心是计算响应度。
高斯混合模型,COMPARE,伯努利混合模型,两者都是混合模型，GMM使用高斯分模型，BMM使用伯努利分模型。
广义期望极大,PREREQUISITE,EM算法,GEM是EM算法的推广，放宽了M步必须求极大值的要求。
EM算法,APPLIED_TO,生成模型,EM算法可用于生成模型的非监督学习。
